USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
ssma       803  0.0  0.0  65524  1516 pts/37   Ss+  Apr16   0:00 /bin/bash
root       820  0.0  0.0      0     0 ?        S    Apr04   0:00 [khungtaskd]
root       821  0.1  0.0      0     0 ?        S    Apr04  31:09 [pdflush]
root       823  0.4  0.0      0     0 ?        S<   Apr04  90:26 [kswapd0]
root       824  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/0]
root       825  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/1]
root       826  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/2]
root       827  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/3]
root       828  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/4]
root       829  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/5]
root       830  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/6]
root       831  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/7]
root       832  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/8]
root       833  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/9]
root       834  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/10]
root       835  0.0  0.0      0     0 ?        S<   Apr04   0:00 [aio/11]
root       997  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kpsmoused]
root      1081  0.0  0.0 124956  2012 ?        Ss   Apr10   0:00 sshd: jkrause [priv]
root      1109  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_0]
root      1110  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_1]
ssma      1128  0.0  0.0 515016  9644 ?        Sl   Apr08   0:30 python crawl_batch2.py query2/batch/query_batch_04
root      1137  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/0]
root      1138  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/1]
root      1139  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/2]
root      1140  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/3]
root      1141  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/4]
root      1142  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/5]
root      1143  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/6]
root      1144  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/7]
root      1145  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/8]
root      1146  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/9]
root      1147  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/10]
root      1148  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata/11]
root      1149  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ata_aux]
root      1163  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_2]
root      1164  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_3]
root      1165  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_4]
root      1166  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_5]
root      1167  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_6]
root      1168  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_7]
root      1182  0.0  0.0      0     0 ?        S<   Apr04   0:00 [scsi_eh_8]
root      1183  0.0  0.0      0     0 ?        S<   Apr04   1:37 [usb-storage]
root      1198  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kstriped]
root      1251  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ksnapd]
root      1304  0.0  0.0      0     0 ?        S<   Apr04   8:23 [kjournald]
ssma      1593  0.0  0.0 461980  5324 ?        Sl   Apr08   0:15 python crawl_batch2.py query2/batch/query_batch_05
jkrause   1849  0.0  0.0 125708  1796 ?        S    Apr10   0:26 sshd: jkrause@pts/8
jkrause   1850  0.0  0.0  64488  1420 pts/8    Ss   Apr10   0:00 -bash
root      2103  0.0  0.0      0     0 ?        S<   Apr04   0:01 [kedac]
tgebru    2662  0.0  0.0  13828   996 pts/25   Ss+  Apr16   0:00 /afs/cs.stanford.edu/package/matlab-r2012b/matlab/r2012b/bin/glnxa64/matlab_helper /dev/pts/25 no
root      2784  0.0  0.0 118676  9500 ?        Ss   Apr15   0:04 SCREEN
root      3606  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/0]
root      3607  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/1]
root      3608  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/2]
root      3609  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/3]
root      3610  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/4]
root      3611  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/5]
root      3612  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/6]
root      3613  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/7]
root      3614  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/8]
root      3615  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/9]
root      3616  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/10]
root      3617  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpathd/11]
root      3618  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kmpath_handlerd]
root      3664  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kjournald]
root      3666  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kjournald]
root      3668  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kjournald]
root      3711  0.0  0.0      0     0 ?        S<   Apr04   6:05 [jbd2/dm-0-8]
root      3712  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3713  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3714  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3715  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3716  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3717  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3718  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3719  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3720  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3721  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3722  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3723  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
